time,label,label_id,200Hz_roll,200Hz_pich,200Hz_yaw,100Hz_roll,100Hz_pich,100Hz_yaw,50Hz_roll,50Hz_pich,50Hz_yaw,25Hz_roll,25Hz_pich,25Hz_yaw
2018-05-29 21:02:43.630,none,-1,-0.3829240350622713,-0.04666766884246982,3.024507677052068,-0.3953628104394146,-0.04042856569779021,3.0221501735649388,-0.4555838824541,-0.03806614148078334,3.034390167609182,-0.6396608552873759,-0.030473536244593924,3.0044673702483546
2018-05-29 21:02:43.635,none,-1,-0.3809599822163939,-0.04623635475809237,3.0248144186681056,-0.39200174322244996,-0.04126656481739416,3.0223779390323235,-0.4500177778297414,-0.0388250245052649,3.034695163895968,-0.6307965392807542,-0.03126994682209212,3.0045310747660525
2018-05-29 21:02:43.640,none,-1,-0.37668047854059183,-0.04620096495429785,3.0250138225351466,-0.38864067600548535,-0.042104563936998116,3.022605704499709,-0.4444516732053828,-0.03958390752974645,3.0350001601827543,-0.6219322232741323,-0.032066357399590316,3.0045947792837504
2018-05-29 21:02:43.645,none,-1,-0.3668602116384172,-0.04679975919902611,3.025054401440255,-0.38034681875938875,-0.0422238166102273,3.0226052681673963,-0.4358077198261601,-0.03974343240319138,3.0350446660786803,-0.6125305205291625,-0.03283039985295185,3.0048125091079365
2018-05-29 21:02:43.650,none,-1,-0.3547091970243786,-0.04561968355324411,3.0249741162946635,-0.37205296151329215,-0.04234306928345647,3.0226048318350838,-0.42716376644693743,-0.039902957276636314,3.0350891719746063,-0.6031288177841925,-0.03359444230631339,3.005030238932123
2018-05-29 21:02:43.655,none,-1,-0.3421381747923441,-0.0426706534154522,3.024870705536483,-0.36275631554141413,-0.042126902862727064,3.0225284736803086,-0.4185198130677147,-0.04006248215008125,3.035133677870532,-0.5937271150392226,-0.03435848475967493,3.005247968756309
2018-05-29 21:02:43.660,none,-1,-0.33021395417588245,-0.04198427888519909,3.0248122370065413,-0.3534596695695361,-0.04191073644199765,3.0224521155255335,-0.409875859688492,-0.04022200702352618,3.0351781837664578,-0.5843254122942527,-0.035122527213036464,3.0054656985804957
2018-05-29 21:02:43.665,none,-1,-0.3207227344430776,-0.040401117187849854,3.0248213999851137,-0.3450942008527144,-0.042632166382092065,3.0225005484122764,-0.4025332190964546,-0.04105559428411125,3.0353199917681826,-0.5749237095492827,-0.035886569666398006,3.005683428404682
2018-05-29 21:02:43.670,none,-1,-0.31147780196749897,-0.04208042886063483,3.0249104117769656,-0.3367287321358927,-0.04335359632218647,3.02254898129902,-0.39519057850441724,-0.04188918154469631,3.035461799769907,-0.5655220068043129,-0.03665061211975954,3.005901158228868
2018-05-29 21:02:43.675,none,-1,-0.30273296048558285,-0.04559035459700727,3.0250827630406,-0.33026224020259637,-0.04443720496945463,3.0227706381140234,-0.38784793791237987,-0.042722768805281384,3.0356036077716317,-0.5561203040593429,-0.037414654573121084,3.0061188880530545
2018-05-29 21:02:43.680,none,-1,-0.2976786989374409,-0.046989999331661945,3.0253484894192164,-0.3237957482693,-0.045520813616722784,3.0229922949290264,-0.3805052973203425,-0.043556356065866456,3.0357454157733565,-0.546718601314373,-0.03817869702648262,3.0063366178772406
2018-05-29 21:02:43.685,none,-1,-0.2949522610811016,-0.05165576946637062,3.0256801019770947,-0.32030141737838086,-0.049684901116360036,3.023354450748815,-0.3760469788969081,-0.046013812277857405,3.0362415256132356,-0.539940155617975,-0.03972361704707608,3.0067314986205043
2018-05-29 21:02:43.690,none,-1,-0.2945140102527374,-0.058170965949057636,3.026058838424777,-0.3168070864874617,-0.05384898861599728,3.0237166065686036,-0.3715886604734736,-0.048471268489848354,3.0367376354531146,-0.5331617099215771,-0.041268537067669545,3.007126379363768
2018-05-29 21:02:43.695,none,-1,-0.2946512972519456,-0.05823272904194991,3.0265449126214583,-0.3149574123096652,-0.05722970631477178,3.024259840298287,-0.36713034205003914,-0.050928724701839304,3.037233745292994,-0.5263832642251791,-0.04281345708826301,3.0075212601070316
2018-05-29 21:02:43.700,none,-1,-0.29574186340258035,-0.06361966168198542,3.0271649408382286,-0.31310773813186865,-0.060610424013546285,3.0248030740279708,-0.3626720236266047,-0.05338618091383025,3.037729855132873,-0.5196048185287812,-0.04435837710885647,3.0079161408502957
2018-05-29 21:02:43.705,none,-1,-0.297701865740756,-0.07041062433581494,3.0278512915665763,-0.31224694241361706,-0.06344245084376605,3.0254623721529117,-0.35905938811939125,-0.05532694406866555,3.0383058137860313,-0.5128263728323833,-0.04590329712944993,3.0083110215935593
2018-05-29 21:02:43.710,none,-1,-0.29898133167901353,-0.07323387642198803,3.028519752670089,-0.31138614669536546,-0.06627447767398582,3.0261216702778526,-0.35544675261217773,-0.057267707223500844,3.03888177243919,-0.5060479271359853,-0.047448217150043395,3.008705902336823
2018-05-29 21:02:43.715,none,-1,-0.30055525810306044,-0.07540477029141557,3.029118400603524,-0.3096563794641742,-0.06825297072701007,3.0266797393061777,-0.35183411710496426,-0.05920847037833613,3.039457731092348,-0.4992694814395874,-0.04899313717063686,3.0091007830800867
2018-05-29 21:02:43.720,none,-1,-0.2988855482116715,-0.07668094940710958,3.029633709065175,-0.3079266122329829,-0.07023146378003432,3.0272378083345033,-0.3482214815977508,-0.06114923353317143,3.0400336897455063,-0.4924910357431894,-0.05053805719123032,3.0094956638233503
2018-05-29 21:02:43.725,none,-1,-0.2934357264378014,-0.0765515227527297,3.0300931669907625,-0.3026083844677483,-0.07077178565162176,3.027681994629136,-0.3431758339730062,-0.062461912294312354,3.04046784039694,-0.48572440480382584,-0.051771185340373366,3.009887926572736
2018-05-29 21:02:43.730,none,-1,-0.2855776348991384,-0.07568671997286328,3.03052208165444,-0.2972901567025137,-0.0713121075232092,3.0281261809237683,-0.3381301863482617,-0.06377459105545327,3.0409019910483734,-0.47895777386446226,-0.05300431348951641,3.010280189322122
2018-05-29 21:02:43.735,none,-1,-0.27791305404161737,-0.07441888159884022,3.0309374700164153,-0.29270126752363285,-0.07236642289794874,3.028529788313292,-0.3330845387235172,-0.0650872698165942,3.041336141699807,-0.4721911429250987,-0.054237441638659456,3.010672452071508
2018-05-29 21:02:43.740,none,-1,-0.2728524091447116,-0.07543349004492142,3.03134282273519,-0.288112378344752,-0.07342073827268829,3.0289333957028157,-0.3280388910987726,-0.06639994857773512,3.0417702923512406,-0.4654245119857351,-0.0554705697878025,3.0110647148208933
2018-05-29 21:02:43.745,none,-1,-0.2717766515980125,-0.0765494571195669,3.031698433570285,-0.2855417380264633,-0.07520365142338334,3.0292610812698775,-0.3233716730152965,-0.06764574382987393,3.0421219761955176,-0.45865788104637145,-0.05670369793694554,3.011456977570279
2018-05-29 21:02:43.750,none,-1,-0.26997462499095554,-0.07900683889307172,3.0319881582261154,-0.2829710977081746,-0.0769865645740784,3.0295887668369392,-0.3187044549318204,-0.06889153908201273,3.0424736600397946,-0.45189125010700787,-0.057936826086088584,3.011849240319665
2018-05-29 21:02:43.755,none,-1,-0.2636681261714224,-0.08020934677675888,3.0322626112509914,-0.27843415136857264,-0.07782912639018584,3.029874564501953,-0.31403723684834434,-0.07013733433415155,3.0428253438840716,-0.4451246191676443,-0.05916995423523163,3.012241503069051
2018-05-29 21:02:43.760,none,-1,-0.2587423973887486,-0.08074798944173059,3.0325610625530826,-0.2738972050289707,-0.07867168820629328,3.0301603621669675,-0.30937001876486825,-0.07138312958629035,3.0431770277283485,-0.4383579882282807,-0.060403082384374675,3.0126337658184363
2018-05-29 21:02:43.765,none,-1,-0.25936154377237197,-0.08320706639958306,3.0328424968949665,-0.2725120920777113,-0.08255294523953521,3.0303575843724424,-0.3057945444148239,-0.07323528850933178,3.04325731287394,-0.43197134857658126,-0.06089030973690855,3.01272015961641
2018-05-29 21:02:43.770,none,-1,-0.2595026476705238,-0.08946700512931376,3.0330113575000968,-0.27112697912645195,-0.08643420227277714,3.0305548065779178,-0.3022190700647796,-0.0750874474323732,3.043337598019532,-0.4255847089248818,-0.06137753708944242,3.012806553414384
2018-05-29 21:02:43.775,none,-1,-0.2546345202797433,-0.08994199617073835,3.033031865118808,-0.2679508202524894,-0.08788739193638882,3.030522517986756,-0.2986435957147353,-0.07693960635541461,3.0434178831651235,-0.41919806927318237,-0.0618647644419763,3.012892947212358
2018-05-29 21:02:43.780,none,-1,-0.251729004587051,-0.09159257501292342,3.0329354356776355,-0.2647746613785269,-0.08934058160000051,3.0304902293955944,-0.29506812136469096,-0.07879176527845604,3.043498168310715,-0.412811429621483,-0.062351991794510175,3.0129793410103316
2018-05-29 21:02:43.785,none,-1,-0.2474466404772993,-0.09157877524085507,3.032766138740192,-0.2594208223657767,-0.08804638051664007,3.0302982431778753,-0.2899931907704657,-0.07834792812706023,3.0433550513120515,-0.40642478996978354,-0.06283921914704405,3.013065734808305
2018-05-29 21:02:43.790,none,-1,-0.24043531633811005,-0.08806309139652421,3.0325540812360745,-0.2540669833530265,-0.08675217943327965,3.030106256960156,-0.28491826017624045,-0.07790409097566442,3.043211934313388,-0.4000381503180841,-0.06332644649957792,3.013152128606279
2018-05-29 21:02:43.795,none,-1,-0.2317225241960465,-0.08464644267558455,3.032335915079575,-0.24831192747212927,-0.08452301309781712,3.029920379394819,-0.27984332958201513,-0.0774602538242686,3.0430688173147242,-0.39365151066638465,-0.0638136738521118,3.0132385224042526
2018-05-29 21:02:43.800,none,-1,-0.22528315343874275,-0.08042849680472071,3.0321666181421314,-0.24255687159123202,-0.08229384676235461,3.029734501829482,-0.2747683989877899,-0.0770164166728728,3.0429257003160606,-0.3872648710146852,-0.06430090120464567,3.0133249162022264
2018-05-29 21:02:43.805,none,-1,-0.2224042057773868,-0.07775758361722827,3.032051862743813,-0.23916187903128855,-0.08192174440326284,3.029594439157009,-0.2711287232790635,-0.07716476681482232,3.042785201311275,-0.3813310650479038,-0.0644861324610177,3.0132459400535736
2018-05-29 21:02:43.810,none,-1,-0.2201387139342625,-0.07791946725699488,3.0319340530193037,-0.23576688647134506,-0.08154964204417108,3.029454376484536,-0.26748904757033715,-0.07731311695677184,3.0426447023064895,-0.37539725908112237,-0.06467136371738973,3.013166963904921
2018-05-29 21:02:43.815,none,-1,-0.2197383367585473,-0.07890038430811057,3.0317678104080508,-0.2326852345881275,-0.08096239107826589,3.0293108231535593,-0.2638493718616108,-0.07746146709872136,3.0425042033017045,-0.369463453114341,-0.06485659497376176,3.013087987756268
2018-05-29 21:02:43.820,none,-1,-0.2170222258585053,-0.07813173063346404,3.0316011314644853,-0.22960358270491,-0.0803751401123607,3.0291672698225827,-0.2602096961528844,-0.07760981724067087,3.042363704296919,-0.36352964714755953,-0.06504182623013378,3.013009011607615
2018-05-29 21:02:43.825,none,-1,-0.21304804284941584,-0.07680692319617842,3.031457141801196,-0.2244224872142338,-0.07941855633431791,3.0290285161470494,-0.2551828234591487,-0.07688018792669739,3.042281237489762,-0.35759584118077814,-0.06522705748650581,3.0129300354589623
2018-05-29 21:02:43.830,none,-1,-0.20629234419569006,-0.07554718439572165,3.031318388125662,-0.21924139172355764,-0.07846197255627511,3.028889762471516,-0.250155950765413,-0.0761505586127239,3.0421987706826057,-0.35166203521399675,-0.06541228874287784,3.0128510593103095
2018-05-29 21:02:43.835,none,-1,-0.19776386026908285,-0.07158828188650089,3.0312197770229243,-0.21368497085820864,-0.07660007453133118,3.028812531652115,-0.2451290780716773,-0.07542092929875041,3.042116303875449,-0.3457282292472153,-0.06559751999924987,3.0127720831616567
2018-05-29 21:02:43.840,none,-1,-0.19160361153479286,-0.06940526755001264,3.0311774527885635,-0.20812854999285965,-0.07473817650638724,3.028735300832714,-0.2401022053779416,-0.07469129998477693,3.042033837068292,-0.3397944232804339,-0.0657827512556219,3.012693107013004
2018-05-29 21:02:43.845,none,-1,-0.18298295910887186,-0.06770576349289104,3.0311364375511416,-0.20017677737260253,-0.07249756793390022,3.0286925402660403,-0.2344885535985784,-0.07389235141271401,3.0420246740897188,-0.33515840073351927,-0.06632252196366836,3.0127240866072267
2018-05-29 21:02:43.850,none,-1,-0.17305160595110866,-0.06482233380570011,3.0310736056980696,-0.19222500475234544,-0.0702569593614132,3.028649779699366,-0.22887490181921516,-0.07309340284065108,3.042015511111146,-0.3305223781866047,-0.06686229267171481,3.0127550662014495
